tokyosento	id	open	name	address	access	closed-days	laundry	office-hours	visited
item-cnt-340.html	新宿 4	1	三の輪湯	新宿区上落合三丁目 31-2	西武新宿線「中井」駅下車、徒歩3分	月曜	1	15:30-25:00	0
item-cnt-339.html	新宿 5	1	松の湯	新宿区上落合三丁目 9-10	東京メトロ東西線「落合」駅下車、徒歩1分	土曜	1	15:30-24:00	0
item-cnt-338.html	新宿 6	1	梅の湯	新宿区上落合二丁目 6-4	西武新宿線「中井」駅下車、徒歩5分	月曜・木曜	1	15:30-24:00	0
item-cnt-336.html	新宿 8	1	世界湯	新宿区高田馬場三丁目 8-31	山手線「高田馬場」駅下車、徒歩7分	木曜	1	15:00-25:00	0
item-cnt-337.html	新宿 9	0	福の湯	新宿区高田馬場四丁目 18-2	山手線「高田馬場」駅下車、徒歩5分	月曜	1	15:30-25:00	0
item-cnt-330.html	新宿 10	1	柏湯	新宿区北新宿四丁目 3-7	中央線「大久保」駅下車、徒歩7分	水曜	1	15:00-24:00	0
item-cnt-335.html	新宿 14	1	金泉湯	新宿区西早稲田二丁目 16-20	山手線「高田馬場」駅下車、徒歩10分	月曜	1	14:30-24:00	0
item-cnt-334.html	新宿 15	1	松の湯	新宿区西早稲田一丁目 4-12	東京メトロ東西線「早稲田」駅下車、徒歩5分	月曜	1	15:00-25:00	0
item-cnt-333.html	新宿 17	1	万年湯	新宿区大久保一丁目 15-17	山手線「新大久保」駅下車、徒歩5分	土曜	1	15:00-24:00	0
item-cnt-331.html	新宿 18	1	金沢浴場	新宿区新宿七丁目 22-11	都営大江戸線「東新宿」駅下車、徒歩5分	不定休	1	15:00-24:00	0
item-cnt-332.html	新宿 19	1	東宝湯	新宿区新宿七丁目 11-5	都営大江戸線「東新宿」駅下車、徒歩3分	金曜、第 1 木曜	1	15:00-24:00	0
item-cnt-325.html	新宿 20	1	弁天湯	新宿区余丁町 5-1	大江戸線「若松河田」駅下車、徒歩5分	水曜/祝日は翌日休	1	14:30-25:00	0
item-cnt-326.html	新宿 21	1	大星湯	新宿区市谷台町 18-3	都営新宿線「曙橋」駅下車、徒歩6分	月曜/銭湯の日、しょうぶ湯、ゆず湯は営業	1	15:00-24:00	0
item-cnt-327.html	新宿 24	1	塩湯	新宿区四谷三栄町 1-3	中央線「四ツ谷」駅下車、徒歩3分	月曜	1	15:00-23:00	0
item-cnt-324.html	新宿 25	1	柳湯	新宿区市谷柳町 25	大江戸線「牛込柳町」駅下車、東口出口徒歩1分	金曜	0	15:00-24:00	0
item-cnt-317.html	新宿 27	1	鶴巻湯	新宿区早稲田鶴巻町 533	東京メトロ東西線「早稲田」駅下車、徒歩5分	火曜、土曜	1	15:00-23:00	0
item-cnt-320.html	新宿 30	1	金成湯	新宿区中里町 13	東京メトロ東西線「神楽坂」駅下車、徒歩2分	金曜	1	15:00-23:30	0
item-cnt-321.html	新宿 31	1	竹の湯	新宿区改代町 2	東京メトロ有楽町線「江戸川橋」駅下車、徒歩4分	土曜	1	15:00-23:30	0
item-cnt-323.html	新宿 32	1	第三玉の湯	新宿区白銀町 1-4	都営大江戸線「牛込神楽坂」駅下車、徒歩5分	水曜	1	15:00-25:30	0
item-cnt-322.html	新宿 33	1	熱海湯	新宿区神楽坂 3-6	中央線「飯田橋」駅下車、徒歩3分	土曜	1	15:00-25:00	0
item-cnt-99.html	文京 2	1	大黒湯	文京区大塚三丁目 8-6	東京メトロ丸ノ内線「茗荷谷」駅下車、徒歩7分	月曜	1	15:30-24:00	0
item-cnt-97.html	文京 3	1	豊川浴泉	文京区目白台一丁目 13-1	都電荒川線「早稲田」駅下車、徒歩5分	月曜、金曜/コインシャワー・ランドリーは無休	1	16:00-23:50	0
item-cnt-100.html	文京 7	1	歌舞伎湯	文京区小石川三丁目 12-1	都営三田線「春日」駅下車、徒歩10分	金曜	1	15:00-23:30	0
item-cnt-101.html	文京 8	1	白山浴場	文京区白山二丁目 7-1	都営三田線「春日」駅下車、徒歩7分	月曜	1	16:00-23:30	0
item-cnt-103.html	文京 10	1	富士見湯	文京区白山一丁目 3-5	都営三田線「春日」駅下車、徒歩5分	月 3 回水曜	0	15:30-25:30	1
item-cnt-104.html	文京 13	1	ふくの湯	文京区千駄木五丁目 41-5	東京メトロ南北線「本駒込」駅下車、徒歩5分	無休	1	11:00-24:00/土曜、日曜、祝日は8:00-24:00	0
item-cnt-96.html	台東 3	1	朝日湯	台東区谷中二丁目 18-7	東京メトロ千代田線「千駄木」駅下車、徒歩2分	年中無休	1	14:00-25:30/土、日、祝は10:00から営業	1
item-cnt-95.html	台東 4	1	六龍鉱泉	台東区池之端三丁目 4-20	東京メトロ千代田線「根津」駅下車、徒歩5分	月曜、木曜	1	15:30-23:00	0
item-cnt-87.html	台東 5	1	ひだまりの泉 萩の湯	台東区根岸二丁目 13-13	山手線「鴬谷」駅下車、徒歩3分	第 3 火曜	1	6:00-9:00、11:00-25:00/※閉店30分前に受付終了	0
item-cnt-88.html	台東 6	1	宝泉湯	台東区根岸三丁目 14-14	東京メトロ日比谷線「入谷」駅下車、徒歩5分	月曜	1	15:00-24:00	0
item-cnt-86.html	台東 8	0	恵美須湯	台東区下谷三丁目 18-9	東京メトロ日比谷線「三ノ輪」駅下車、徒歩2分	不定休	1	16:00-23:30	0
item-cnt-94.html	台東 9	1	改栄湯	台東区三ノ輪二丁目 10-15	東京メトロ日比谷線「三ノ輪」駅下車、徒歩3分	月曜	1	12:15-22:45	1
item-cnt-93.html	台東 10	1	日の出湯	台東区三ノ輪一丁目 15-12	東京メトロ日比谷線「三ノ輪」駅下車、徒歩5分	金曜	1	15:00-23:30	0
item-cnt-92.html	台東 11	1	有馬湯	台東区竜泉三丁目 31-2	東京メトロ日比谷線「三ノ輪」駅下車、徒歩10分	水曜	0	14:00-23:30	0
item-cnt-91.html	台東 13	1	富久の湯	台東区千束二丁目 34-6	東京メトロ日比谷線「入谷」駅下車、徒歩10分	日曜	0	15:45-23:15	0
item-cnt-80.html	台東 14	1	堤柳泉	台東区千束四丁目 5-4	東京メトロ日比谷線「三ノ輪」駅よりバス。「吉原大門」下車、徒歩1分	月曜	1	13:00-23:00/日曜、祝日は12:00から営業	0
