path	area	name	address	visited
17-kita/05-akabanenishi	北区	赤羽西図書館	北区赤羽西五丁目 7-5 赤羽西福祉作業所 3 階	1
17-kita/06-showamachi	北区	昭和町図書館	北区昭和町三丁目 10-7 昭和町区民センター 3 階	1
17-kita/07-tabata	北区	田端図書館	北区田端三丁目 16-2 田端区民センター 3 階	1
17-kita/08-kamijujo	北区	上十条図書館	北区上十条三丁目 3-9 上十条区民センター 3 階	1
17-kita/09-akabanekita	北区	赤羽北図書館	北区赤羽北一丁目 8-1 111 集合住宅 1 階部分	1
17-kita/10-higashitabata	北区	東田端図書館	北区田端新町二丁目 14-15 集合住宅 1 階部分	1
17-kita/11-kamiya	北区	神谷図書館	北区神谷三丁目 35-17 神谷区民センター 1 階	1
17-kita/12-takinogawanishi	北区	滝野川西図書館	北区滝野川六丁目 21-25 滝野川西区民センター 5 階	1
17-kita/13-toshima	北区	豊島図書館	北区豊島三丁目 27-22 豊島区民センター 1 階	1
17-kita/14-higashijujo	北区	東十条図書館	北区東十条三丁目 2-14 東十条区民センター 1 階	1
18-arakawa/00-central	荒川区	ゆいの森あらかわ	荒川区荒川二丁目 50-1	1
18-arakawa/01-minamisenju	荒川区	南千住図書館	荒川区南千住六丁目 63-1	1
18-arakawa/02-ogu	荒川区	尾久図書館	荒川区西尾久三丁目 12-12	1
18-arakawa/03-machiya	荒川区	町屋図書館	荒川区町家五丁目 11-18	1
18-arakawa/04-nippori	荒川区	日暮里図書館	荒川区東日暮里六丁目 38-4	1
18-arakawa/05-shioiri	荒川区	汐入図書サービスステーション	荒川区南千住八丁目 2-5 114 べるぽーと汐入東館 1 階	1
18-arakawa/06-kammurishindo	荒川区	冠新道図書サービスステーション	荒川区西日暮里六丁目 25-14	1
19-itabashi/00-central	板橋区	中央図書館	板橋区常盤台一丁目 13-1	1
19-itabashi/01-akatsuka	板橋区	赤塚図書館	板橋区赤塚六丁目 38-1 赤塚庁舎 2 階	1
19-itabashi/02-shimizu	板橋区	清水図書館	板橋区泉町 16-16 清水地域センター 3 階	1
19-itabashi/03-hasune	板橋区	蓮根図書館	板橋区蓮根三丁目 五丁目 1-101	1
19-itabashi/04-hikawa	板橋区	氷川図書館	板橋区氷川町 28-9	1
19-itabashi/05-takashimadaira	板橋区	高島平図書館	板橋区高島平三丁目 13-1	1
19-itabashi/06-higashiitabashi	板橋区	東板橋図書館	板橋区加賀一丁目 10-15	1
19-itabashi/07-komone	板橋区	小茂根図書館	板橋区小茂根一丁目 6-2	1
19-itabashi/08-nishidai	板橋区	西台図書館	板橋区西台三丁目 13-2	1
19-itabashi/09-shimura	板橋区	志村図書館	板橋区小豆沢一丁目 8-1	1
19-itabashi/10-narimasu	板橋区	成増図書館	板橋区成増三丁目 13-1 アリエス 3 階	1
19-itabashi/11-bologna	板橋区	いたばしボローニャ子ども絵本館	板橋区本町 24-1 3 階	1
20-nerima/00-hikarigaoka	練馬区	光が丘図書館	練馬区光が丘四丁目 1-5	1
20-nerima/01-nerima	練馬区	練馬図書館	練馬区豊玉北六丁目 8-1	1
20-nerima/02-shakujii	練馬区	石神井図書館	練馬区石神井台一丁目 16-31	1
20-nerima/03-heiwadai	練馬区	平和台図書館	練馬区平和台一丁目 36-17	1
20-nerima/04-oizumi	練馬区	大泉図書館	練馬区大泉学園町二丁目 21-17	1
20-nerima/05-sekimachi	練馬区	関町図書館	練馬区関町南三丁目 11-2	1
20-nerima/06-nukui	練馬区	貫井図書館	練馬区貫井一丁目 36-16	1
20-nerima/07-inariyama	練馬区	稲荷山図書館	練馬区大泉町一丁目 3-18	1
20-nerima/08-kotake	練馬区	小竹図書館	練馬区小竹町二丁目 43-1	1
20-nerima/09-minamioizumi	練馬区	南大泉図書館	練馬区南大泉一丁目 44-7	1
20-nerima/10-minamioizumi-annex	練馬区	南大泉図書館分室こどもと本のひろば	練馬区南大泉三丁目 17-20	-1
20-nerima/11-kasugacho	練馬区	春日町図書館	練馬区春日町五丁目 31-2 201号エリム春日町 2 階	1
20-nerima/12-minamitanaka	練馬区	南田中図書館	練馬区南田中五丁目 15-22	1
21-adachi/00-iko	足立区	伊興図書館	足立区伊興二丁目 4-22 伊興地域学習センター内	1
21-adachi/01-umeda	足立区	梅田図書館	足立区梅田七丁目 13-1	1
21-adachi/02-okimoto	足立区	興本図書館	足立区興野一丁目 18-38 興本地域学習センター内	1
21-adachi/03-kohoku	足立区	江北図書館	足立区江北三丁目 39-4 江北地域学習センター内	1
21-adachi/04-sano	足立区	佐野図書館	足立区佐野二丁目 43-5 佐野地域学習センター内	1
21-adachi/05-shikahama	足立区	鹿浜図書館	足立区鹿浜六丁目 8-1 鹿浜地域学習センター内	1
21-adachi/06-shinden	足立区	新田コミュニティ図書館	足立区新田二丁目 2-2 新田地域学習センター内	1
21-adachi/07-takenozuka	足立区	竹の塚図書館	足立区竹の塚二丁目 25-17 竹の塚地域学習センター内	1
21-adachi/08-central	足立区	中央図書館	足立区千住五丁目 13-5 学びピア 21 内	1
21-adachi/09-towa	足立区	東和図書館	足立区東和三丁目 12-9 東和地域学習センター内	1
21-adachi/10-toneri	足立区	舎人図書館	足立区舎人一丁目 3-26 舎人地域学習センター内	1
21-adachi/11-hanahata	足立区	花畑図書館	足立区花畑四丁目 16-8 花畑地域学習センター内	1
21-adachi/12-hozuka	足立区	保塚図書館	足立区保塚町 7-16 保塚地域学習センター内	0
21-adachi/13-konan	足立区	江南コミュニティ図書館	足立区小台二丁目 4-18	1
21-adachi/14-yayoi	足立区	やよい図書館	足立区中央本町三丁目 15-1 中央本町地域学習センター内	1
22-katsushika/00-central	葛飾区	葛飾区中央図書館	葛飾区金町六丁目 2-1 ヴィナシス金町ブライトコート 3 階	1
22-katsushika/01-tateishi	葛飾区	葛飾区立石図書館	葛飾区立石一丁目 9-1	1
22-katsushika/02-ohanajaya	葛飾区	葛飾区お花茶屋図書館	葛飾区お花茶屋二丁目 1-15	1
22-katsushika/03-kamikomatsu	葛飾区	葛飾区上小松図書館	葛飾区東新小岩三丁目 12-1 都営住宅 1 号棟 1 階	1
22-katsushika/04-kameari	葛飾区	葛飾区亀有図書館	葛飾区亀有一丁目 17-5 都営住宅 5 号棟 1 階	1
22-katsushika/05-mizumoto	葛飾区	葛飾区水元図書館	葛飾区東水元一丁目 7-3 水元保健センター併設	1
22-katsushika/06-kamakura	葛飾区	葛飾区鎌倉図書館	葛飾区鎌倉二丁目 4-5	1
22-katsushika/07-yotsugi	葛飾区	葛飾区四つ木地区図書館	葛飾区四つ木四丁目 8-1 よつぎ小学校内	1
22-katsushika/08-nishimizumoto	葛飾区	葛飾区西水元地区図書館	葛飾区西水元二丁目 2-8 特別養護老人ホーム西水元あやめ園 1 階	1
22-katsushika/09-aoto	葛飾区	葛飾区青戸地区図書館	葛飾区青戸五丁目 20-6 青戸地区センター 2 階	1
22-katsushika/10-okudo	葛飾区	葛飾区奥戸地区図書館	葛飾区奥戸三丁目 5-1 南奥戸小学校内	1
22-katsushika/11-kosuge	葛飾区	葛飾区こすげ地区図書館	葛飾区小菅三丁目 8-22 こすげ小学校内	1
22-katsushika/12-nijuku	葛飾区	葛飾区新宿図書センター	葛飾区不明	0
22-katsushika/13-gender-equality	葛飾区	葛飾区男女平等推進センター図書資料室	葛飾区立石五丁目 27-1 ウィメンズパル 2 階	1
22-katsushika/14-nijuku-service	葛飾区	葛飾区新宿図書サービスコーナー	葛飾区新宿一丁目 5-6 新宿憩い交流館内	-1
22-katsushika/15-kameari-service	葛飾区	葛飾区リリオ亀有図書サービスカウンター	葛飾区亀有三丁目 26-1 亀有リリオ館 7 階	-1
23-edogawa/00-central	江戸川区	中央図書館	江戸川区中央三丁目 1-3	1
23-edogawa/01-koiwa	江戸川区	小岩図書館	江戸川区東小岩三丁目 6-9	1
23-edogawa/02-matsue	江戸川区	松江図書館	江戸川区松江二丁目 1-10	1
23-edogawa/03-komatsugawa	江戸川区	小松川図書館	江戸川区平井一丁目 11-26	1
23-edogawa/04-kasai	江戸川区	葛西図書館	江戸川区江戸川六丁目 24-1	1
23-edogawa/05-nishikasai	江戸川区	西葛西図書館	江戸川区西葛西五丁目 10-47	1
23-edogawa/06-higashikasai	江戸川区	東葛西図書館	江戸川区東葛西八丁目 22-1	1
23-edogawa/07-shinozaki	江戸川区	篠崎図書館	江戸川区篠崎町七丁目 20-19 しのざき文化プラザ内	1
23-edogawa/08-tobu	江戸川区	東部図書館	江戸川区江戸川二丁目 35-6	1
23-edogawa/09-sinozaki-children	江戸川区	篠崎子ども図書館	江戸川区篠崎町三丁目 12-10	-1
23-edogawa/10-seishincho	江戸川区	清新町コミュニティ図書館	江戸川区清新町一丁目 2-2 清新町コミュニティ会館内	1
23-edogawa/11-shishibone	江戸川区	鹿骨コミュニティ図書館	江戸川区鹿骨一丁目 54-2 鹿骨区民館内	1
