name	ku	areacode	address	mfc	beatmania	nostalgia	bomber-girl	mjac	chronoregalia	visited	closed
白鳥ゲームプラザ	新宿区	1690075	新宿区高田馬場四丁目 8-8 白鳥会館 1F	1	0	0	0	1	0	1	0
タイトーステーション上野アメ横店	台東区	1100002	台東区上野四丁目 10-17	1	0	1	0	1	0	1	0
タイトーステーション上野御徒町店	台東区	1100002	台東区上野四丁目 6-9 湯島商事ビル	1	0	0	1	1	0	1	0
アドアーズ上野アメ横店	台東区	1100002	台東区上野四丁目 9-14 上野 K.K ビル B1-4F	1	1	0	0	0	1	1	0
タイトーステーション浅草店	台東区	1110032	台東区浅草一丁目 27-5 ROX ドーム 1F	1	1	0	0	0	0	1	0
アドアーズ浅草店	台東区	1110032	台東区浅草一丁目 42-4 パシフィックコート浅草 1F	1	0	0	0	0	0	1	0
ル･モンド駒形店	墨田区	1300001	墨田区吾妻橋二丁目 4-10	1	1	0	0	0	0	1	0
タイトー F ステーションオリナス錦糸町店	墨田区	1300012	墨田区太平四丁目 1-2 オリナス B1F	1	1	1	0	1	1	1	0
タイトーステーション錦糸町楽天地店	墨田区	1300022	墨田区江東橋四丁目 27-14 B1	1	1	1	1	0	0	1	0
アドアーズ門前仲町店	江東区	1350047	江東区富岡一丁目 5-5 和田屋ビル	1	1	1	0	1	0	1	0
ラウンドワンダイバーシティ東京プラザ店	江東区	1350064	江東区青海一丁目 1-10 ダイバーシティ東京 6F 6100	0	1	0	0	0	0	1	0
アドアーズ亀戸店	江東区	1360071	江東区亀戸五丁目 2-6 サンエービル 1-5F	1	1	1	0	1	1	1	0
アドアーズ南砂町 SUNAMO 店	江東区	1360075	江東区新砂三丁目 4-31 南砂ショッピングセンター	1	1	1	0	0	0	1	0
ラウンドワン南砂店	江東区	1360076	江東区南砂六丁目 7-15 トピレックプラザ 4F	1	1	1	1	1	1	1	0
アムネット五反田店	品川区	1410031	品川区西五反田一丁目 27-5 NA 五反田ビル	1	1	1	1	1	1	1	0
アピナ S 武蔵小山店	品川区	1420061	品川区小山三丁目 23-3 SD ビル B1F	1	1	1	0	1	0	1	0
プリンス	目黒区	1520035	目黒区自由が丘一丁目 12-10	1	0	0	0	1	0	1	0
クラブセガ自由が丘店	目黒区	1520035	目黒区自由が丘二丁目 10-9	0	1	1	0	1	1	1	0
タイトーステーション BIGFUN 平和島店	大田区	1430006	大田区平和島一丁目 1-1 BIGFUN 平和島 3F	1	1	1	0	1	0	1	0
ゲームプラザ大森	大田区	1430016	大田区大森北一丁目 36-3	1	0	0	0	0	0	0	0
ファンファン平和島店	大田区	1430016	大田区大森北六丁目 29-13	1	0	0	0	1	0	1	0
